ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
91963,8,2024,I,Y,0,0,0
91963,8,2024,R,Y,0,0,0
91977,8,2024,A,Y,0,0,0
91977,8,2024,C,Y,0,0,0
91977,8,2024,I,Y,0,0,0
91977,8,2024,R,N,3572,1635558,458
91978,8,2024,A,Y,0,0,0
91978,8,2024,C,Y,0,0,0
91978,8,2024,I,Y,0,0,0
91978,8,2024,R,N,620,538595,869
91980,8,2024,A,Y,0,0,0
91980,8,2024,C,Y,0,0,0
91980,8,2024,I,Y,0,0,0
91980,8,2024,R,Y,0,0,0
92003,8,2024,A,Y,0,0,0
92003,8,2024,C,Y,0,0,0
92003,8,2024,I,Y,0,0,0
92003,8,2024,R,N,379,159416,421
92004,8,2024,A,Y,0,0,0
92004,8,2024,C,Y,0,0,0
92004,8,2024,I,Y,0,0,0
92004,8,2024,R,Y,374,302840,810
92007,8,2024,A,Y,0,0,0
92007,8,2024,C,Y,0,0,0
92007,8,2024,I,Y,0,0,0
92007,8,2024,R,N,1254,430584,343
92008,8,2024,A,Y,0,0,0
92008,8,2024,C,Y,0,0,0
92008,8,2024,I,Y,0,0,0
92008,8,2024,R,N,5160,1954563,379
92009,8,2024,A,Y,0,0,0
92009,8,2024,C,Y,0,0,0
92009,8,2024,I,Y,0,0,0
92009,8,2024,R,N,4590,2133740,465
92010,8,2024,A,Y,0,0,0
92010,8,2024,C,Y,0,0,0
92010,8,2024,I,Y,0,0,0
92010,8,2024,R,N,2524,2086717,827
92011,8,2024,A,Y,0,0,0
92011,8,2024,C,N,257,2387524,9290
92011,8,2024,I,Y,0,0,0
92011,8,2024,R,N,3131,1357041,433
